id,title,video_link
w01d1,,
w01d2,,
w01d3,,
w01d4,,
w01d5,,
w02d1,,
w02d2,,
w02d3,,
w02d4,,
w02d5,,
w03d1,,
w03d2,,
w03d3,,
w03d4,,
w03d5,,
w04d1,Intro to CSS                                                    ,
w04d2,Client Side JavaScript & jQuery                                 ,
w04d3,,
w04d4,Responsive Design and SASS                                      ,https://www.youtube.com/watch?v=_M0PnHWz07o                                                                                                                                                                                                                    
w04d5,,
w05d1,SQL Intro                                                       ,
w05d2,,
w05d3,,
w05d4,,
w05d5,,
